id	file	line	yaml_key	context_en	current_it	proposed_it	issue_type	evidence_note	status	decision	amended_it	final_it	notes
IT-0001	data/pages.yaml	20	nav_static_it	Roundtable Guides	Guide della Tavola Rotonda	Guide della Tavola Rotonda (verificare con naming ufficiale Tavola Rotonda)	consistency	Potential non-official section naming	PENDING				Needs style approval
IT-0002	data/checklists/bosses.yaml	45	data_it[0..3]	Mad Pumpkin Head / Waypoint Ruins	Testa di Zucca impazzito | Rovine del Punto di Morte	Testa di Zucca folle | Rovine del punto di passaggio	proper_noun	Waypoint Ruins mistranslated	PENDING				
IT-0003	data/checklists/bosses.yaml	53	data_it[0]	Bloody Finger Nerijus	Dito Sanguinante Nerijus	Nerijus, Dito Sanguinario	proper_noun	Title ordering/term not aligned to official style	PENDING				
IT-0004	data/checklists/bosses.yaml	74	data_it[3]	Field boss.	Boss nell'overworld.	Boss sul campo.	untranslated_term	Contains untranslated English loanword	PENDING				Global pattern in bosses.yaml
IT-0005	data/checklists/bosses.yaml	78	data_it[0]	Tibia Mariner	Nochiero tibiale	Marinaio Tibiale	proper_noun	Suspected non-official term variant	PENDING				
IT-0006	data/checklists/bosses.yaml	96	data_it[3]	Field boss. Night...	Boss nell'overworld. Solo di notte...	Boss sul campo. Solo di notte...	untranslated_term	Contains untranslated English loanword	PENDING				Global pattern in bosses.yaml
IT-0007	data/checklists/bosses.yaml	106	data_it[0]	Recusant Henricus	Riccusante Henricus	Ricusante Henricus	typo	Double-c typo	PENDING				
IT-0008	data/checklists/bosses.yaml	156	data_it[1]	Earthbore Cave	Caverna della Sonda terrestre	Caverna Earthbore (verificare nome ufficiale)	proper_noun	Likely non-official location rendering	PENDING				
IT-0009	data/checklists/quests.yaml	28	data_it	...along with some new ones	...inclusiane alcune nuove	...incluse alcune nuove	typo	Italian typo	PENDING				
IT-0010	data/checklists/quests.yaml	57	data_it	During Dung-Eater's questline...	...missione del Mangiungue...	...missione del Mangiasterco...	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Global pattern in quests/tldr
IT-0011	data/checklists/quests.yaml	60	data_it	If you kill Dung-Eater...	...se uccidi il Mangiungue...	...se uccidi il Mangiasterco...	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Global pattern in quests/tldr
IT-0012	data/checklists/quests.yaml	87	data_it	Forlorn Hound's Evergaol	Prigione eterna del furiere genetliaco	Galera eterna del Limiere reietto	proper_noun	Current term appears incorrect/non-official	PENDING				Repeated issue
IT-0013	data/checklists/quests.yaml	96	data_it	under Waypoint Ruins	sotto le Rovine del punto di ristoro	sotto le Rovine del punto di passaggio	proper_noun	Waypoint term mistranslated	PENDING				Repeated issue
IT-0014	data/checklists/quests.yaml	105	data_it	Go to Forlorn Hound's Evergaol	Vai alla Prigione eterna del furiere genetliaco	Vai alla Galera eterna del Limiere reietto	proper_noun	Current term appears incorrect/non-official	PENDING				Repeated issue
IT-0015	data/checklists/quests.yaml	124	data_it	Can be summoned in Forlorn Hound's Evergaol	...nella Prigione eterna del furiere genetliaco...	...nella Galera eterna del Limiere reietto...	proper_noun	Current term appears incorrect/non-official	PENDING				Repeated issue
IT-0016	data/checklists/quests.yaml	313	title_it	Dung Eater	Mangiungue	Mangiasterco	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Global pattern in quests/tldr
IT-0017	data/checklists/quest_order_tldr.yaml	67	data_it	Meet Sellen under Waypoint Ruins	Incontra Sellen sotto le Rovine del punto di ristoro	Incontra Sellen sotto le Rovine del punto di passaggio	proper_noun	Waypoint term mistranslated	PENDING				Repeated issue
IT-0018	data/checklists/quest_order_tldr.yaml	522	data_it	Talk to Roderika, Hewg and Dung Eater	Parla con Roderika, Hewg e il Mangiungue	Parla con Roderika, Hewg e il Mangiasterco	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Global pattern in quests/tldr
IT-0019	data/checklists/quest_order_tldr.yaml	558	title_it	Leyndell Start/Dung Eater/Seluvis	Inizio a Leyndell/Mangiungue/Seluvis	Inizio a Leyndell/Mangiasterco/Seluvis	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				
IT-0020	data/checklists/quest_order_tldr.yaml	565	data_it	...talk to Dung Eater...	...parla con il Mangiungue...	...parla con il Mangiasterco...	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Repeated issue
IT-0021	data/checklists/quest_order_tldr.yaml	568	data_it	...free the Dung Eater	...libera il Mangiungue	...libera il Mangiasterco	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Repeated issue
IT-0022	data/checklists/quest_order_tldr.yaml	571	data_it	Read the note where Dung Eater was	...dove si trovava il Mangiungue	...dove si trovava il Mangiasterco	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Repeated issue
IT-0023	data/checklists/quest_order_tldr.yaml	577	data_it	...by killing Dung Eater	...uccidendo il Mangiungue	...uccidendo il Mangiasterco	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Repeated issue
IT-0024	data/checklists/quest_order_tldr.yaml	580	data_it	Return to Dung Eater	Torna dal Mangiungue	Torna dal Mangiasterco	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Repeated issue
IT-0025	data/checklists/quest_order_tldr.yaml	583	data_it	Return to Dung Eater in the Sewers	Torna dal Mangiungue nelle fogne	Torna dal Mangiasterco nelle fogne	proper_noun	NPC official Italian name mismatch (suspected)	PENDING				Repeated issue
IT-0026	data/checklists/gestures.yaml	94	data_it[1]	Waypoint Ruins Cellar	Cantina della rovina del punto di ristoro	Cantina delle Rovine del punto di passaggio	proper_noun	Waypoint term mistranslated	PENDING				
IT-0027	data/checklists/legendaries.yaml	12	data_it	Warmaster's Shack	Capanna del mestre d'armi	Capanna del maestro d'armi	typo	Italian typo	PENDING				
IT-0028	data/checklists/weapons.yaml	204	data_it	Bloody Finger Nerijus / Murkwater Cave	Dito Sanguinante Nerijus ... Grotta di Murkwater	Nerijus, Dito Sanguinario ... Caverna di Acquacupa	proper_noun	NPC + location naming consistency	PENDING				
IT-0029	data/checklists/weapons.yaml	1137	data_it	Warmaster's Shack / Crumbling Farum Azula	Capanna del Maestro della Guerra ... Farum Azula Crollante	Capanna del maestro d'armi ... Farum Azula in frantumi	consistency	Inconsistent naming with rest of IT localization	PENDING				
IT-0030	data/checklists/bosses.yaml	160	data_it[3]	Field boss. Surrounded by Demi-Humans.	Boss nell'overworld. Circondata da Semiumani.	Boss sul campo. Circondata da Semiumani.	untranslated_term	Contains untranslated English loanword	PENDING				Global pattern in bosses.yaml
